date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:01	51083/51083	---M--	200	added ('OK')	image/jpeg	etag:%22403a80-c78b-5bcb518c1a680%22	https://templemitra.com/files/assets/images/destination/93747-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/93747-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:01	47387/47387	---M--	200	added ('OK')	image/jpeg	etag:%22403a88-b91b-5bcb517aefe00%22	https://templemitra.com/files/assets/images/destination/25756-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/25756-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:03	85886/85886	---M--	200	added ('OK')	image/jpeg	etag:%22403a7a-14f7e-5bcb518479480%22	https://templemitra.com/files/assets/images/destination/5945-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/5945-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:04	69741/69741	---M--	200	added ('OK')	image/jpeg	etag:%22403a83-1106d-5bcb518479480%22	https://templemitra.com/files/assets/images/destination/57454-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/57454-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:05	57164/57164	---M--	200	added ('OK')	image/jpeg	etag:%22403a8c-df4c-5bcb518849d80%22	https://templemitra.com/files/assets/images/destination/83004-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/83004-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:05	52887/52887	---M--	200	added ('OK')	image/jpeg	etag:%22403a60-ce97-5bcb517cd8280%22	https://templemitra.com/files/assets/images/destination/31339-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/31339-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:06	27760/27760	---M--	200	added ('OK')	image/jpeg	etag:%22403a67-6c70-5bcb517aefe00%22	https://templemitra.com/files/assets/images/destination/24682-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/24682-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:07	49097/49097	---M--	200	added ('OK')	image/jpeg	etag:%22403a5d-bfc9-5bcb517cd8280%22	https://templemitra.com/files/assets/images/destination/30106-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/30106-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:09	65334/65334	---M--	200	added ('OK')	image/jpeg	etag:%22403a53-ff36-5bcb518291000%22	https://templemitra.com/files/assets/images/destination/54927-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/54927-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:10	26888/26888	---M--	200	added ('OK')	image/jpeg	etag:%22403a86-6908-5bcb517907980%22	https://templemitra.com/files/assets/images/destination/21485-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/21485-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:10	65055/65055	---M--	200	added ('OK')	image/jpeg	etag:%22403a5a-fe1f-5bcb518479480%22	https://templemitra.com/files/assets/images/destination/5733-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/5733-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:12	87003/87003	---M--	200	added ('OK')	image/jpeg	etag:%22403a72-153db-5bcb51771f500%22	https://templemitra.com/files/assets/images/destination/18186-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/18186-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:13	63702/63702	---M--	200	added ('OK')	image/jpeg	etag:%22403a57-f8d6-5bcb518a32200%22	https://templemitra.com/files/assets/images/destination/88989-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/88989-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:14	76089/76089	---M--	200	added ('OK')	image/jpeg	etag:%22403a4e-12939-5bcb51771f500%22	https://templemitra.com/files/assets/images/destination/11520-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/11520-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:15	74383/74383	---M--	200	added ('OK')	image/jpeg	etag:%22403a70-1228f-5bcb5180a8b80%22	https://templemitra.com/files/assets/images/destination/45073-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/45073-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:16	85673/85673	---M--	200	added ('OK')	image/jpeg	etag:%22403a6a-14ea9-5bcb518849d80%22	https://templemitra.com/files/assets/images/destination/80824-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/80824-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:17	68408/68408	---M--	200	added ('OK')	image/jpeg	etag:%22403a64-10b38-61553d711c9c0%22	https://templemitra.com/files/assets/images/destination/580-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/580-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:18	68889/68889	---M--	200	added ('OK')	image/jpeg	etag:%22403a8b-10d19-5bcb518661900%22	https://templemitra.com/files/assets/images/destination/71540-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/71540-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:19	47976/47976	---M--	200	added ('OK')	image/jpeg	etag:%22403a5f-bb68-5bcb518291000%22	https://templemitra.com/files/assets/images/destination/46615-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/46615-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:23	52250/52250	---M--	200	added ('OK')	image/jpeg	etag:%22403a71-cc1a-5bcb51771f500%22	https://templemitra.com/files/assets/images/destination/13953-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/13953-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:25	68408/68408	---M--	200	added ('OK')	image/jpeg	etag:%22403a48-10b38-61553c9d65640%22	https://templemitra.com/files/assets/images/destination/88359-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/88359-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:26	57293/57293	---M--	200	added ('OK')	image/jpeg	etag:%22403a85-dfcd-5bcb517ec0700%22	https://templemitra.com/files/assets/images/destination/32161-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/32161-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:26	57745/57745	---M--	200	added ('OK')	image/jpeg	etag:%22403a77-e191-5bcb517ec0700%22	https://templemitra.com/files/assets/images/destination/31517-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/31517-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:28	70307/70307	---M--	200	added ('OK')	image/jpeg	etag:%22403a3f-112a3-5bcb518479480%22	https://templemitra.com/files/assets/images/destination/56141-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/56141-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:29	67984/67984	---M--	200	added ('OK')	image/jpeg	etag:%22403a6d-10990-5bcb517aefe00%22	https://templemitra.com/files/assets/images/destination/25820-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/25820-destination-package.jpg	(from https://templemitra.com/tour-vision)
00:39:30	94718/94718	---M--	200	added ('OK')	image/jpeg	etag:%22403a6b-171fe-5bcb518849d80%22	https://templemitra.com/files/assets/images/destination/76462-destination-package.jpg	/Users/sherlock/Documents/webcopy/templemitra.com/files/assets/images/destination/76462-destination-package.jpg	(from https://templemitra.com/tour-vision)
